"Symbol";"Value";"Unit";
"CG";"Sheet metal";"";
"NO_OF_ROWS";"1";"";
"LUBRI";"Grease";"";
"SUPPLIER";"SKF";"";
"SLNG_TYPE";"Contact";"";
"BORE_D";"12";"mm";
"DYN_LOAD_C";"5.4";"kN";
"MAT_BEAR";"Bearing steel";"";
"RD_INT_CLR";"CN";"";
"TraceParts.PartTitle";"Deep groove ball bearings";"";
"COAT";"Without";"";
"TRACEPARTS";"TRACEPARTS";"";
"OUTSIDE_D";"28";"mm";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Deep groove ball bearings";"";
"TraceParts.InstanceId";"34-21082024-096625AE2RKNPX48IYSL5YNFP811QIA";"";
"TraceParts.PartNumber";"34-21082024-096625";"";
"WIDTH_B";"8";"mm";
"SLNG";"Seal on both sides";"";
"FL_SLTS";"Without";"";
"REFERENCE";"6001-2RSH";"";
"TraceParts.PartVersion";"1.2.5";"";
"SKF_CLASS";"SKF Explorer";"";
"LIM_SPEED";"17000";"";
"DESCR";"Deep groove ball bearing with seals";"";
"LCFT";"None";"";
